4118,4231,attach,interior,cabin,correct,
4231,4628,attach,bumper,cabin,correct,
4628,4675,attach,sound module,chassis,correct,
4675,4942,attach,interior,chassis,correct,
4942,5054,attach,base,chassis,correct,
5560,6023,attach,body,base,correct,
6023,6541,attach,turntable top,body,correct,
6541,7036,attach,arm,boom,correct,
7036,7236,attach,hook,arm,correct,
7236,7829,attach,arm,arm,correct,
7829,8600,attach,boom,turntable top,correct,
8810,9264,attach,roof,cabin,correct,
9264,10417,attach,wheel,chassis,correct,
