4579,4857,attach,hook,arm,correct,
4857,5438,attach,arm,boom,correct,
5438,5888,attach,turntable top,body,correct,
5888,6166,attach,boom,turntable top,correct,
6166,7321,attach,base,body,correct,
7321,7552,attach,sound module,chassis,correct,
7552,7809,attach,interior,chassis,correct,
7809,7877,attach,cabin,interior,correct,
7877,8146,attach,bumper,cabin,correct,
8146,8265,attach,base,chassis,correct,
8763,8852,attach,light,roof,correct,
8852,9154,attach,roof,cabin,correct,
9154,10195,attach,wheel,chassis,correct,
