6118,6275,attach,grill,cabin,correct,
6275,6432,attach,interior,chassis,correct,
6432,7056,attach,interior,chassis,correct,
7056,7663,attach,base,chassis,correct,
7663,8253,attach,turntable top,turntable base,correct,
8253,8793,attach,hook,arm,correct,
8793,8820,attach,arm,arm,correct,
8820,9822,attach,arm,boom,correct,
9822,10281,attach,arm,turntable base,correct,
10963,11856,attach,turntable base,chassis,correct,
12447,12766,attach,light,roof,correct,
12766,13096,attach,roof,cabin,correct,
13356,13699,attach,grill,cabin,correct,
13699,14537,attach,wheel,chassis,correct,
